
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 30/1/2023 16:46:25
  ==========================================
  

[2023-01-30T23:46:44.299Z] : [warn]: There is a small amount of free memory (RAM) left, 91.97% of RAM is being used (7461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-01-31T02:10:44.990Z] : [warn]: There is a small amount of free memory (RAM) left, 92.1% of RAM is being used (7471 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:14:15.025Z] : [warn]: There is a small amount of free memory (RAM) left, 91.15% of RAM is being used (7394 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:20:15.037Z] : [warn]: There is a small amount of free memory (RAM) left, 92.97% of RAM is being used (7542 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:33:45.054Z] : [warn]: There is a small amount of free memory (RAM) left, 91.04% of RAM is being used (7385 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:36:45.109Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7410 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:39:45.141Z] : [warn]: There is a small amount of free memory (RAM) left, 92.54% of RAM is being used (7507 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:42:45.157Z] : [warn]: There is a small amount of free memory (RAM) left, 92.07% of RAM is being used (7469 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:45:45.173Z] : [warn]: There is a small amount of free memory (RAM) left, 92.59% of RAM is being used (7511 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:48:45.192Z] : [warn]: There is a small amount of free memory (RAM) left, 92.23% of RAM is being used (7482 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:51:45.206Z] : [warn]: There is a small amount of free memory (RAM) left, 92.7% of RAM is being used (7520 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:54:15.115Z] : [warn]: There is a small amount of free memory (RAM) left, 90.58% of RAM is being used (7348 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T02:57:15.130Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (7363 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T03:00:15.148Z] : [warn]: There is a small amount of free memory (RAM) left, 90.74% of RAM is being used (7361 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T03:03:15.163Z] : [warn]: There is a small amount of free memory (RAM) left, 91.41% of RAM is being used (7415 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T03:06:15.179Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (7424 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T03:09:15.192Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7410 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T03:12:15.208Z] : [warn]: There is a small amount of free memory (RAM) left, 92.6% of RAM is being used (7512 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

