
  ==========================================
  Studio Pro version: 9.0.5
  Started at: 18/1/2023 20:01:58
  ==========================================
  

[2023-01-19T08:30:25.121Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (14636 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-01-19T10:00:27.822Z] : [warn]: There is a small amount of free memory (RAM) left, 92.63% of RAM is being used (15055 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:03:27.855Z] : [warn]: There is a small amount of free memory (RAM) left, 93.39% of RAM is being used (15178 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:06:27.887Z] : [warn]: There is a small amount of free memory (RAM) left, 91.53% of RAM is being used (14876 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:09:27.917Z] : [warn]: There is a small amount of free memory (RAM) left, 92.55% of RAM is being used (15042 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:12:27.935Z] : [warn]: There is a small amount of free memory (RAM) left, 93.23% of RAM is being used (15152 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:15:27.944Z] : [warn]: There is a small amount of free memory (RAM) left, 94.47% of RAM is being used (15354 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:18:27.982Z] : [warn]: There is a small amount of free memory (RAM) left, 95.48% of RAM is being used (15518 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:21:28.004Z] : [warn]: There is a small amount of free memory (RAM) left, 93.71% of RAM is being used (15229 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:24:28.028Z] : [warn]: There is a small amount of free memory (RAM) left, 94.41% of RAM is being used (15343 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:27:28.052Z] : [warn]: There is a small amount of free memory (RAM) left, 95.02% of RAM is being used (15442 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:30:28.090Z] : [warn]: There is a small amount of free memory (RAM) left, 95.6% of RAM is being used (15537 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:33:28.121Z] : [warn]: There is a small amount of free memory (RAM) left, 95.83% of RAM is being used (15575 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:36:28.159Z] : [warn]: There is a small amount of free memory (RAM) left, 94.95% of RAM is being used (15431 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:39:28.191Z] : [warn]: There is a small amount of free memory (RAM) left, 95.97% of RAM is being used (15597 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:42:28.232Z] : [warn]: There is a small amount of free memory (RAM) left, 96.7% of RAM is being used (15716 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:46:57.129Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (14651 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:49:57.144Z] : [warn]: There is a small amount of free memory (RAM) left, 91.05% of RAM is being used (14797 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:51:57.078Z] : [warn]: There is a small amount of free memory (RAM) left, 90.13% of RAM is being used (14648 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:52:57.118Z] : [warn]: There is a small amount of free memory (RAM) left, 90.02% of RAM is being used (14630 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:53:57.124Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (14649 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:56:57.132Z] : [warn]: There is a small amount of free memory (RAM) left, 90.8% of RAM is being used (14757 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T10:59:57.152Z] : [warn]: There is a small amount of free memory (RAM) left, 90.32% of RAM is being used (14679 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T11:02:57.155Z] : [warn]: There is a small amount of free memory (RAM) left, 90.24% of RAM is being used (14665 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T11:58:57.126Z] : [warn]: There is a small amount of free memory (RAM) left, 90.51% of RAM is being used (14710 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:01:57.119Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (14649 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:17:27.060Z] : [warn]: There is a small amount of free memory (RAM) left, 90.38% of RAM is being used (14689 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:35:27.063Z] : [warn]: There is a small amount of free memory (RAM) left, 90.03% of RAM is being used (14631 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:41:57.108Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (14659 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:45:57.093Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (14637 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:48:27.041Z] : [warn]: There is a small amount of free memory (RAM) left, 90.22% of RAM is being used (14662 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:51:57.119Z] : [warn]: There is a small amount of free memory (RAM) left, 90.19% of RAM is being used (14657 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:56:57.104Z] : [warn]: There is a small amount of free memory (RAM) left, 90.16% of RAM is being used (14652 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T12:59:27.043Z] : [warn]: There is a small amount of free memory (RAM) left, 90.97% of RAM is being used (14785 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:02:27.066Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (14660 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:05:27.084Z] : [warn]: There is a small amount of free memory (RAM) left, 90.22% of RAM is being used (14663 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:06:57.127Z] : [warn]: There is a small amount of free memory (RAM) left, 90.01% of RAM is being used (14629 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:10:27.047Z] : [warn]: There is a small amount of free memory (RAM) left, 90.16% of RAM is being used (14653 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:13:27.068Z] : [warn]: There is a small amount of free memory (RAM) left, 90.28% of RAM is being used (14673 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:16:27.089Z] : [warn]: There is a small amount of free memory (RAM) left, 90.86% of RAM is being used (14767 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:19:27.105Z] : [warn]: There is a small amount of free memory (RAM) left, 90.73% of RAM is being used (14745 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:22:57.154Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (14641 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:25:57.188Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (14694 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:28:57.210Z] : [warn]: There is a small amount of free memory (RAM) left, 90.7% of RAM is being used (14740 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:31:57.225Z] : [warn]: There is a small amount of free memory (RAM) left, 91.05% of RAM is being used (14797 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:34:57.257Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (14738 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:37:57.277Z] : [warn]: There is a small amount of free memory (RAM) left, 90.31% of RAM is being used (14677 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:40:57.299Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (14649 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:43:57.321Z] : [warn]: There is a small amount of free memory (RAM) left, 90.5% of RAM is being used (14708 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:46:57.330Z] : [warn]: There is a small amount of free memory (RAM) left, 90.72% of RAM is being used (14744 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:49:57.340Z] : [warn]: There is a small amount of free memory (RAM) left, 90.85% of RAM is being used (14765 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:52:57.350Z] : [warn]: There is a small amount of free memory (RAM) left, 90.52% of RAM is being used (14712 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:55:57.365Z] : [warn]: There is a small amount of free memory (RAM) left, 90.7% of RAM is being used (14740 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T13:58:57.410Z] : [warn]: There is a small amount of free memory (RAM) left, 90.72% of RAM is being used (14744 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:01:57.430Z] : [warn]: There is a small amount of free memory (RAM) left, 91.28% of RAM is being used (14835 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:04:57.451Z] : [warn]: There is a small amount of free memory (RAM) left, 91.42% of RAM is being used (14857 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:07:57.473Z] : [warn]: There is a small amount of free memory (RAM) left, 90.94% of RAM is being used (14780 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:10:57.507Z] : [warn]: There is a small amount of free memory (RAM) left, 91.09% of RAM is being used (14804 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:13:57.529Z] : [warn]: There is a small amount of free memory (RAM) left, 91.29% of RAM is being used (14837 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:16:57.566Z] : [warn]: There is a small amount of free memory (RAM) left, 91.92% of RAM is being used (14939 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:19:57.601Z] : [warn]: There is a small amount of free memory (RAM) left, 91.28% of RAM is being used (14835 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:22:57.639Z] : [warn]: There is a small amount of free memory (RAM) left, 90.45% of RAM is being used (14700 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:25:57.679Z] : [warn]: There is a small amount of free memory (RAM) left, 90.78% of RAM is being used (14753 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:28:57.702Z] : [warn]: There is a small amount of free memory (RAM) left, 90.74% of RAM is being used (14747 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:31:57.740Z] : [warn]: There is a small amount of free memory (RAM) left, 90.81% of RAM is being used (14758 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:34:57.764Z] : [warn]: There is a small amount of free memory (RAM) left, 90.73% of RAM is being used (14746 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:37:57.820Z] : [warn]: There is a small amount of free memory (RAM) left, 90.46% of RAM is being used (14701 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:40:57.846Z] : [warn]: There is a small amount of free memory (RAM) left, 90.66% of RAM is being used (14734 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:43:57.878Z] : [warn]: There is a small amount of free memory (RAM) left, 91.04% of RAM is being used (14796 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:46:57.909Z] : [warn]: There is a small amount of free memory (RAM) left, 91.12% of RAM is being used (14809 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:49:57.920Z] : [warn]: There is a small amount of free memory (RAM) left, 91.06% of RAM is being used (14799 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:52:57.942Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (14738 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:55:57.962Z] : [warn]: There is a small amount of free memory (RAM) left, 92.75% of RAM is being used (15073 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T14:58:57.987Z] : [warn]: There is a small amount of free memory (RAM) left, 91.57% of RAM is being used (14882 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:01:58.020Z] : [warn]: There is a small amount of free memory (RAM) left, 91.93% of RAM is being used (14940 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:04:58.045Z] : [warn]: There is a small amount of free memory (RAM) left, 91.27% of RAM is being used (14834 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:07:58.068Z] : [warn]: There is a small amount of free memory (RAM) left, 90.43% of RAM is being used (14697 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:10:58.082Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (14705 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:13:58.105Z] : [warn]: There is a small amount of free memory (RAM) left, 90.75% of RAM is being used (14748 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:16:58.111Z] : [warn]: There is a small amount of free memory (RAM) left, 90.81% of RAM is being used (14759 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:19:58.129Z] : [warn]: There is a small amount of free memory (RAM) left, 91.43% of RAM is being used (14859 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:22:58.152Z] : [warn]: There is a small amount of free memory (RAM) left, 93.42% of RAM is being used (15182 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:25:58.160Z] : [warn]: There is a small amount of free memory (RAM) left, 91.24% of RAM is being used (14828 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:28:58.195Z] : [warn]: There is a small amount of free memory (RAM) left, 92.3% of RAM is being used (15001 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:31:58.207Z] : [warn]: There is a small amount of free memory (RAM) left, 96.16% of RAM is being used (15628 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:40:27.050Z] : [warn]: There is a small amount of free memory (RAM) left, 93.14% of RAM is being used (15137 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:43:27.087Z] : [warn]: There is a small amount of free memory (RAM) left, 90.05% of RAM is being used (14635 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:45:27.046Z] : [warn]: There is a small amount of free memory (RAM) left, 90.84% of RAM is being used (14763 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:48:27.080Z] : [warn]: There is a small amount of free memory (RAM) left, 92.68% of RAM is being used (15062 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:51:27.103Z] : [warn]: There is a small amount of free memory (RAM) left, 93.86% of RAM is being used (15254 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:54:27.127Z] : [warn]: There is a small amount of free memory (RAM) left, 92.78% of RAM is being used (15078 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T15:57:27.168Z] : [warn]: There is a small amount of free memory (RAM) left, 95.69% of RAM is being used (15552 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T16:00:27.187Z] : [warn]: There is a small amount of free memory (RAM) left, 93.39% of RAM is being used (15177 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T16:03:27.232Z] : [warn]: There is a small amount of free memory (RAM) left, 94.63% of RAM is being used (15380 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T16:06:27.255Z] : [warn]: There is a small amount of free memory (RAM) left, 95.48% of RAM is being used (15517 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.


  ==========================================
  Studio Pro version: 9.0.5
  Started at: 19/1/2023 12:03:15
  ==========================================
  


  ==========================================
  Studio Pro version: 9.0.5
  Started at: 19/1/2023 20:09:35
  ==========================================
  

[2023-01-20T02:14:55.045Z] : [success]: Robot saved successfully

