
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 23/2/2023 19:26:33
  ==========================================
  

[2023-02-24T02:28:55.524Z] : [warn]: There is a small amount of free memory (RAM) left, 93.11% of RAM is being used (7553 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-02-24T03:28:55.574Z] : [warn]: There is a small amount of free memory (RAM) left, 91.83% of RAM is being used (7449 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:48:55.532Z] : [warn]: There is a small amount of free memory (RAM) left, 91.31% of RAM is being used (7407 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:51:55.557Z] : [warn]: There is a small amount of free memory (RAM) left, 90.78% of RAM is being used (7364 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:54:55.589Z] : [warn]: There is a small amount of free memory (RAM) left, 90.95% of RAM is being used (7378 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:57:55.598Z] : [warn]: There is a small amount of free memory (RAM) left, 90.57% of RAM is being used (7347 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:00:55.607Z] : [warn]: There is a small amount of free memory (RAM) left, 90.79% of RAM is being used (7365 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:03:55.617Z] : [warn]: There is a small amount of free memory (RAM) left, 91.14% of RAM is being used (7393 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:06:55.635Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (7424 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:09:55.646Z] : [warn]: There is a small amount of free memory (RAM) left, 94.28% of RAM is being used (7648 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:12:55.661Z] : [warn]: There is a small amount of free memory (RAM) left, 93.33% of RAM is being used (7571 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:15:55.673Z] : [warn]: There is a small amount of free memory (RAM) left, 92.54% of RAM is being used (7507 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:18:55.683Z] : [warn]: There is a small amount of free memory (RAM) left, 94.24% of RAM is being used (7645 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:21:55.705Z] : [warn]: There is a small amount of free memory (RAM) left, 94.43% of RAM is being used (7660 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T04:24:55.793Z] : [warn]: There is a small amount of free memory (RAM) left, 91.74% of RAM is being used (7442 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:11:55.522Z] : [warn]: There is a small amount of free memory (RAM) left, 90.75% of RAM is being used (7362 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:14:55.619Z] : [warn]: There is a small amount of free memory (RAM) left, 92.62% of RAM is being used (7513 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:17:55.633Z] : [warn]: There is a small amount of free memory (RAM) left, 92.05% of RAM is being used (7467 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:20:55.643Z] : [warn]: There is a small amount of free memory (RAM) left, 92.85% of RAM is being used (7532 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:26:55.509Z] : [warn]: There is a small amount of free memory (RAM) left, 90.53% of RAM is being used (7344 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:29:55.524Z] : [warn]: There is a small amount of free memory (RAM) left, 90.64% of RAM is being used (7353 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:32:55.532Z] : [warn]: There is a small amount of free memory (RAM) left, 90.47% of RAM is being used (7339 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:35:55.546Z] : [warn]: There is a small amount of free memory (RAM) left, 90.62% of RAM is being used (7351 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:38:55.559Z] : [warn]: There is a small amount of free memory (RAM) left, 90.61% of RAM is being used (7350 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:41:55.596Z] : [warn]: There is a small amount of free memory (RAM) left, 90.84% of RAM is being used (7369 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:44:55.617Z] : [warn]: There is a small amount of free memory (RAM) left, 90.95% of RAM is being used (7378 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:47:55.646Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (7356 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:50:55.656Z] : [warn]: There is a small amount of free memory (RAM) left, 91.03% of RAM is being used (7384 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:53:55.667Z] : [warn]: There is a small amount of free memory (RAM) left, 90.85% of RAM is being used (7370 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:56:55.675Z] : [warn]: There is a small amount of free memory (RAM) left, 90.79% of RAM is being used (7365 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T05:59:55.685Z] : [warn]: There is a small amount of free memory (RAM) left, 90.72% of RAM is being used (7359 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:02:55.707Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (7356 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:05:55.713Z] : [warn]: There is a small amount of free memory (RAM) left, 90.9% of RAM is being used (7374 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:08:55.722Z] : [warn]: There is a small amount of free memory (RAM) left, 91.16% of RAM is being used (7395 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:11:55.731Z] : [warn]: There is a small amount of free memory (RAM) left, 91.48% of RAM is being used (7421 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:14:55.741Z] : [warn]: There is a small amount of free memory (RAM) left, 91.03% of RAM is being used (7384 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:17:55.754Z] : [warn]: There is a small amount of free memory (RAM) left, 91.54% of RAM is being used (7426 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:20:55.763Z] : [warn]: There is a small amount of free memory (RAM) left, 92.36% of RAM is being used (7492 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:23:55.776Z] : [warn]: There is a small amount of free memory (RAM) left, 92.28% of RAM is being used (7486 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:26:55.786Z] : [warn]: There is a small amount of free memory (RAM) left, 92.2% of RAM is being used (7479 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:29:55.797Z] : [warn]: There is a small amount of free memory (RAM) left, 92.65% of RAM is being used (7516 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:32:55.806Z] : [warn]: There is a small amount of free memory (RAM) left, 92.41% of RAM is being used (7496 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:36:25.355Z] : [warn]: There is a small amount of free memory (RAM) left, 90.05% of RAM is being used (7305 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:37:55.518Z] : [warn]: There is a small amount of free memory (RAM) left, 90.05% of RAM is being used (7305 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T06:40:55.605Z] : [warn]: There is a small amount of free memory (RAM) left, 92.16% of RAM is being used (7476 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T09:53:25.443Z] : [warn]: There is a small amount of free memory (RAM) left, 92.87% of RAM is being used (7534 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T09:56:25.753Z] : [warn]: There is a small amount of free memory (RAM) left, 91.89% of RAM is being used (7454 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T09:59:25.760Z] : [warn]: There is a small amount of free memory (RAM) left, 92.17% of RAM is being used (7477 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:02:25.778Z] : [warn]: There is a small amount of free memory (RAM) left, 92.12% of RAM is being used (7473 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:05:25.787Z] : [warn]: There is a small amount of free memory (RAM) left, 92.87% of RAM is being used (7534 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:08:25.797Z] : [warn]: There is a small amount of free memory (RAM) left, 93.4% of RAM is being used (7577 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:11:25.806Z] : [warn]: There is a small amount of free memory (RAM) left, 93.57% of RAM is being used (7590 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:14:25.816Z] : [warn]: There is a small amount of free memory (RAM) left, 93.93% of RAM is being used (7620 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:17:25.827Z] : [warn]: There is a small amount of free memory (RAM) left, 93.84% of RAM is being used (7612 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:20:25.838Z] : [warn]: There is a small amount of free memory (RAM) left, 93.11% of RAM is being used (7553 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:39:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 91.36% of RAM is being used (7411 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:41:55.596Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (7306 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T10:46:55.507Z] : [warn]: There is a small amount of free memory (RAM) left, 90.91% of RAM is being used (7375 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:00:55.518Z] : [warn]: There is a small amount of free memory (RAM) left, 90.04% of RAM is being used (7304 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:03:55.674Z] : [warn]: There is a small amount of free memory (RAM) left, 90.34% of RAM is being used (7328 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:06:55.692Z] : [warn]: There is a small amount of free memory (RAM) left, 92.73% of RAM is being used (7522 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:09:55.698Z] : [warn]: There is a small amount of free memory (RAM) left, 91.99% of RAM is being used (7462 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:12:55.705Z] : [warn]: There is a small amount of free memory (RAM) left, 92.1% of RAM is being used (7471 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:15:55.713Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (7427 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:18:55.721Z] : [warn]: There is a small amount of free memory (RAM) left, 91.84% of RAM is being used (7450 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:21:55.732Z] : [warn]: There is a small amount of free memory (RAM) left, 91.86% of RAM is being used (7452 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:24:55.740Z] : [warn]: There is a small amount of free memory (RAM) left, 91.96% of RAM is being used (7460 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:27:55.746Z] : [warn]: There is a small amount of free memory (RAM) left, 92.21% of RAM is being used (7480 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:30:55.756Z] : [warn]: There is a small amount of free memory (RAM) left, 92.49% of RAM is being used (7503 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:33:55.765Z] : [warn]: There is a small amount of free memory (RAM) left, 92.78% of RAM is being used (7526 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:36:55.773Z] : [warn]: There is a small amount of free memory (RAM) left, 91.77% of RAM is being used (7444 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:39:55.785Z] : [warn]: There is a small amount of free memory (RAM) left, 92.12% of RAM is being used (7473 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:42:55.794Z] : [warn]: There is a small amount of free memory (RAM) left, 92.39% of RAM is being used (7495 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:45:55.803Z] : [warn]: There is a small amount of free memory (RAM) left, 92.6% of RAM is being used (7512 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:48:55.812Z] : [warn]: There is a small amount of free memory (RAM) left, 92.79% of RAM is being used (7527 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:51:55.821Z] : [warn]: There is a small amount of free memory (RAM) left, 92.38% of RAM is being used (7494 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:54:55.832Z] : [warn]: There is a small amount of free memory (RAM) left, 92.99% of RAM is being used (7543 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T11:57:55.842Z] : [warn]: There is a small amount of free memory (RAM) left, 93.17% of RAM is being used (7558 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T12:00:55.850Z] : [warn]: There is a small amount of free memory (RAM) left, 93.08% of RAM is being used (7551 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T12:03:55.859Z] : [warn]: There is a small amount of free memory (RAM) left, 93.13% of RAM is being used (7555 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T12:06:55.869Z] : [warn]: There is a small amount of free memory (RAM) left, 93.12% of RAM is being used (7554 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T12:09:55.878Z] : [warn]: There is a small amount of free memory (RAM) left, 93.68% of RAM is being used (7599 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T12:50:55.512Z] : [warn]: There is a small amount of free memory (RAM) left, 90.67% of RAM is being used (7355 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T13:58:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 92.65% of RAM is being used (7516 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:01:25.401Z] : [warn]: There is a small amount of free memory (RAM) left, 95.06% of RAM is being used (7711 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:04:25.419Z] : [warn]: There is a small amount of free memory (RAM) left, 94.16% of RAM is being used (7638 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:07:25.435Z] : [warn]: There is a small amount of free memory (RAM) left, 93.27% of RAM is being used (7566 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:10:25.355Z] : [warn]: There is a small amount of free memory (RAM) left, 92.76% of RAM is being used (7525 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:13:25.365Z] : [warn]: There is a small amount of free memory (RAM) left, 92.85% of RAM is being used (7532 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:16:25.376Z] : [warn]: There is a small amount of free memory (RAM) left, 92.52% of RAM is being used (7505 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:19:25.388Z] : [warn]: There is a small amount of free memory (RAM) left, 92.71% of RAM is being used (7521 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:22:25.397Z] : [warn]: There is a small amount of free memory (RAM) left, 92.3% of RAM is being used (7487 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:26:55.676Z] : [warn]: There is a small amount of free memory (RAM) left, 90.37% of RAM is being used (7331 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:29:55.688Z] : [warn]: There is a small amount of free memory (RAM) left, 90.82% of RAM is being used (7367 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:32:55.700Z] : [warn]: There is a small amount of free memory (RAM) left, 91.1% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:35:55.710Z] : [warn]: There is a small amount of free memory (RAM) left, 93.5% of RAM is being used (7585 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:37:25.357Z] : [warn]: There is a small amount of free memory (RAM) left, 91.1% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:42:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 91.65% of RAM is being used (7435 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:45:25.385Z] : [warn]: There is a small amount of free memory (RAM) left, 90.74% of RAM is being used (7361 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:48:25.397Z] : [warn]: There is a small amount of free memory (RAM) left, 91.21% of RAM is being used (7399 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:51:25.409Z] : [warn]: There is a small amount of free memory (RAM) left, 93.39% of RAM is being used (7576 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:53:55.511Z] : [warn]: There is a small amount of free memory (RAM) left, 90.1% of RAM is being used (7309 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:56:55.517Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (7313 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T14:59:55.587Z] : [warn]: There is a small amount of free memory (RAM) left, 92.25% of RAM is being used (7483 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:02:55.602Z] : [warn]: There is a small amount of free memory (RAM) left, 91.75% of RAM is being used (7443 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:05:55.783Z] : [warn]: There is a small amount of free memory (RAM) left, 91.26% of RAM is being used (7403 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:18:55.510Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (7313 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:21:55.535Z] : [warn]: There is a small amount of free memory (RAM) left, 90.67% of RAM is being used (7355 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:26:55.612Z] : [warn]: There is a small amount of free memory (RAM) left, 93.76% of RAM is being used (7606 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:29:55.657Z] : [warn]: There is a small amount of free memory (RAM) left, 92.92% of RAM is being used (7538 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:32:55.678Z] : [warn]: There is a small amount of free memory (RAM) left, 91.27% of RAM is being used (7404 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T15:33:57.286Z] : [warn]: There is a small amount of free memory (RAM) left, 91.97% of RAM is being used (7461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

